date,Id,Lat,Lng,1m,5m,10m,20m,
5/1/2019,S210,35.11977,-119.62897,0,0,1,6,
5/1/2019,S290,35.12099,-119.62913,0,1,2,7,
5/1/2019,S570,35.11622,-119.63152,0,0,0,0,
5/1/2019,S830,35.11511,-119.63229,0,0,0,0,
5/2/2019,S830,35.11473,-119.63357,0,0,1,1,
5/2/2019,S570,35.11591,-119.62995,0,0,0,0,
5/2/2019,S150,35.11604,-119.62716,4,28,45,65,Located in a massive cluster of small shrubs!
5/8/2019,S770,35.11724,-119.63157,0,0,0,0,
5/8/2019,S810,35.11724,-119.63157,0,0,0,0,
5/8/2019,S290,35.11866,-119.63176,0,0,4,15,
