x,y,gid,Name,description
-119.6296966,35.1181887,1,Shrub 1,
-119.6298816,35.1183215,2,Shrub 2,
-119.6298962,35.118187,3,Shrub 3,
-119.6300303,35.1181947,4,Shrub 4,
-119.6296503,35.1184426,5,Shrub 5,
-119.6295309,35.1183285,6,Shrub 6,
-119.6294505,35.1183011,7,Shrub 7,
-119.6297388,35.1180258,8,Shrub 8,
-119.6300875,35.1181234,9,Shrub 9,
-119.6302712,35.1182232,10,Shrub 10,
-119.6304134,35.1181168,11,Shrub 11,
-119.6292433,35.1179759,12,Shrub 12,
-119.6292446,35.118362,13,Shrub 13,
-119.6295504,35.1185145,14,Shrub 14,
-119.6293908,35.1184202,15,Shrub 15,
-119.629301,35.1184575,16,Shrub 16,
